wikidata,legislature,name,website,statistical-geography,toid,start-date,end-date
Q16995750,Q19414242,Knowsley Metropolitan Borough Council,https://www.knowsley.gov.uk,,,,
Q27159704,Q3336962,Lake District National Park Authority,https://www.lakedistrict.gov.uk,E26000003,,,
Q6481450,Q21561350,Lambeth London Borough Council,https://www.lambeth.gov.uk,,,,
Q6386149,Q4321471,Lancashire County Council,https://www.lancashire.gov.uk,,,,
Q73072658,Q21561306,Lancaster City Council,https://www.lancaster.gov.uk,,,,
Q6515870,Q19414242,Leeds City Council,https://www.leeds.gov.uk,,,1974-04-01T00:00:00Z,
Q6519163,Q21561328,Leicester City Council,https://www.leicester.gov.uk,,,,
Q6386198,Q4321471,Leicestershire County Council,https://www.leics.gov.uk,,,,
Q73072662,Q21561306,Lewes District Council,https://www.lewes-eastbourne.gov.uk,,,,
Q6537320,Q21561350,Lewisham London Borough Council,https://www.lewisham.gov.uk,,,,
Q6543271,Q21561306,Lichfield District Council,https://www.lichfielddc.gov.uk,,,,
Q16996347,Q4321471,Lincolnshire County Council,https://www.lincolnshire.gov.uk,,,,
Q6658351,Q19414242,Liverpool City Council,https://www.liverpool.gov.uk,,,,
Q16996746,Q5150900,Liverpool City Region Combined Authority,https://www.liverpoolcityregion-ca.gov.uk,,,,
Q739384,Q4321471,London County Council,,,,1889-03-21T00:00:00Z,1965-04-01T00:00:00Z
Q3258953,Q5266682,London Docklands Development Corporation,,,,1981-01-01T00:00:00Z,1998-01-01T00:00:00Z
Q6670544,Q5266682,London Legacy Development Corporation,https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy,E51000001,,2012-03-09T00:00:00Z,
Q6670837,Q5266682,London Thames Gateway Development Corporation,http://www.ltgdc.org.uk/,,,2004-06-26T00:00:00Z,2013-01-24T00:00:00Z
Q16997109,Q21561328,Luton Borough Council,https://www.luton.gov.uk,,,,
Q16997208,Q21561306,Maidstone Borough Council,https://www.maidstone.gov.uk,,,,
Q73072663,Q21561306,Maldon District Council,https://www.maldon.gov.uk,,,,
