index-entry-number,entry-number,entry-timestamp,key,local-authority-eng,local-authority-type,name,official-name,start-date,end-date
188,188,2016-10-21T16:11:20Z,WSM,WSM,LBO,Westminster,"City of Westminster",,
187,187,2016-10-21T16:11:20Z,WND,WND,LBO,Wandsworth,"London Borough of Wandsworth",,
186,186,2016-10-21T16:11:20Z,WFT,WFT,LBO,"Waltham Forest","London Borough of Waltham Forest",,
185,185,2016-10-21T16:11:20Z,TWH,TWH,LBO,"Tower Hamlets","London Borough of Tower Hamlets",,
184,184,2016-10-21T16:11:20Z,SWK,SWK,LBO,Southwark,"London Borough of Southwark",,
183,183,2016-10-21T16:11:20Z,STN,STN,LBO,Sutton,"London Borough of Sutton",,
182,182,2016-10-21T16:11:20Z,RIC,RIC,LBO,"Richmond upon Thames","London Borough of Richmond upon Thames",,
181,181,2016-10-21T16:11:20Z,RDB,RDB,LBO,Redbridge,"London Borough of Redbridge",,
180,180,2016-10-21T16:11:20Z,NWM,NWM,LBO,Newham,"London Borough of Newham",,
179,179,2016-10-21T16:11:20Z,MRT,MRT,LBO,Merton,"London Borough of Merton",,
178,178,2016-10-21T16:11:20Z,LEW,LEW,LBO,Lewisham,"London Borough of Lewisham",,
177,177,2016-10-21T16:11:20Z,LBH,LBH,LBO,Lambeth,"London Borough of Lambeth",,
176,176,2016-10-21T16:11:20Z,KTT,KTT,LBO,"Kingston upon Thames","Royal Borough of Kingston upon Thames",,
175,175,2016-10-21T16:11:20Z,KEC,KEC,LBO,"Kensington and Chelsea","Royal Borough of Kensington and Chelsea",,
174,174,2016-10-21T16:11:20Z,ISL,ISL,LBO,Islington,"London Borough of Islington",,
173,173,2016-10-21T16:11:20Z,HRY,HRY,LBO,Haringey,"London Borough of Haringey",,
172,172,2016-10-21T16:11:20Z,HRW,HRW,LBO,Harrow,"London Borough of Harrow",,
171,171,2016-10-21T16:11:20Z,HNS,HNS,LBO,Hounslow,"London Borough of Hounslow",,
170,170,2016-10-21T16:11:20Z,HMF,HMF,LBO,"Hammersmith and Fulham","London Borough of Hammersmith & Fulham",,
169,169,2016-10-21T16:11:20Z,HIL,HIL,LBO,Hillingdon,"London Borough of Hillingdon",,
168,168,2016-10-21T16:11:20Z,HCK,HCK,LBO,Hackney,"London Borough of Hackney",,
167,167,2016-10-21T16:11:20Z,HAV,HAV,LBO,Havering,"London Borough of Havering",,
166,166,2016-10-21T16:11:20Z,GRE,GRE,LBO,Greenwich,"Royal Borough of Greenwich",,
165,165,2016-10-21T16:11:20Z,ENF,ENF,LBO,Enfield,"London Borough of Enfield",,
164,164,2016-10-21T16:11:20Z,EAL,EAL,LBO,Ealing,"London Borough of Ealing",,
163,163,2016-10-21T16:11:20Z,CRY,CRY,LBO,Croydon,"London Borough of Croydon",,
162,162,2016-10-21T16:11:20Z,CMD,CMD,LBO,Camden,"London Borough of Camden",,
161,161,2016-10-21T16:11:20Z,BRY,BRY,LBO,Bromley,"London Borough of Bromley",,
160,160,2016-10-21T16:11:20Z,BNE,BNE,LBO,Barnet,"London Borough of Barnet",,
159,159,2016-10-21T16:11:20Z,BEX,BEX,LBO,Bexley,"London Borough of Bexley",,
158,158,2016-10-21T16:11:20Z,BEN,BEN,LBO,Brent,"London Borough of Brent",,
157,157,2016-10-21T16:11:20Z,BDG,BDG,LBO,"Barking and Dagenham","London Borough of Barking and Dagenham",,
156,156,2016-10-21T16:11:20Z,WEA,WEA,NMD,Wealden,"Wealden District Council",,
155,155,2016-10-21T16:11:20Z,ROH,ROH,NMD,Rother,"Rother District Council",,
154,154,2016-10-21T16:11:20Z,LEE,LEE,NMD,Lewes,"Lewes District Council",,
153,153,2016-10-21T16:11:20Z,HAS,HAS,NMD,Hastings,"Hastings Borough Council",,
152,152,2016-10-21T16:11:20Z,EAS,EAS,NMD,Eastbourne,"Eastbourne Borough Council",,
151,151,2016-10-21T16:11:20Z,ESX,ESX,CTY,"East Sussex","East Sussex County Council",,
150,150,2016-10-21T16:11:20Z,UTT,UTT,NMD,Uttlesford,"Uttlesford District Council",,
