statistical-geography,boundary
E07000082,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000082/index.geojson
E07000083,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000083/index.geojson
E07000084,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000084/index.geojson
E07000085,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000085/index.geojson
E07000086,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000086/index.geojson
E07000087,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000087/index.geojson
E07000088,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000088/index.geojson
E07000089,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000089/index.geojson
E07000090,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000090/index.geojson
E07000091,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000091/index.geojson
E07000092,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000092/index.geojson
E07000093,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000093/index.geojson
E07000094,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000094/index.geojson
E07000095,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000095/index.geojson
E07000096,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000096/index.geojson
E07000098,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000098/index.geojson
E07000099,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000099/index.geojson
E07000102,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000102/index.geojson
E07000103,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000103/index.geojson
E07000105,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000105/index.geojson
E07000106,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000106/index.geojson
E07000107,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000107/index.geojson
E07000108,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000108/index.geojson
E07000109,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000109/index.geojson
E07000110,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000110/index.geojson
E07000111,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000111/index.geojson
E07000112,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000112/index.geojson
E07000113,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000113/index.geojson
E07000114,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000114/index.geojson
E07000115,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000115/index.geojson
E07000116,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000116/index.geojson
E07000117,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000117/index.geojson
E07000118,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000118/index.geojson
E07000119,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000119/index.geojson
E07000120,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000120/index.geojson
E07000121,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000121/index.geojson
E07000122,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000122/index.geojson
E07000123,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000123/index.geojson
E07000124,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000124/index.geojson
E07000125,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000125/index.geojson
